Up,Down,result
0,0,0.31371322143247526
0,1,0.3343348067051321
0,2,0.3383100354978484
0,3,0.355093397900339
0,4,0.3636580805967888
0,5,0.3831602352323544
0,6,0.37712108226780944
0,7,0.3755822595566439
0,8,0.37889072331851475
0,9,0.39441270470993633
0,10,0.37898623000121334
0,11,0.37738637219057325
0,12,0.3838177603096857
0,13,0.38515248840422617
0,14,0.39429023619707715
0,15,0.38371384826984645
0,16,0.3842978896972049
0,17,0.3763075187893813
0,18,0.3700489767907145
0,19,0.37664810190160386
0,20,0.37668545740485
0,21,0.37811823428976715
0,22,0.37542251683618544
0,23,0.36399205138083107
0,24,0.36343184573078796
1,0,0.3139545249926321
1,1,0.33203155877515694
1,2,0.33507863717578884
1,3,0.35218625789898217
1,4,0.36371157149541256
1,5,0.38154605300670463
1,6,0.3835407099454274
1,7,0.3810257194985335
1,8,0.38179194018994506
1,9,0.38497953863526646
1,10,0.3793846461712291
1,11,0.38590176102671514
1,12,0.3797222211626452
1,13,0.38604265725474307
1,14,0.39178271862232905
1,15,0.3832289389719271
1,16,0.3855925361804078
1,17,0.38424329254282785
1,18,0.3812225920615443
1,19,0.3751454671489194
1,20,0.3756294281060807
1,21,0.37643319396565667
1,22,0.38016648486219357
1,23,0.3726707622133051
1,24,0.3698475564326631
2,0,0.31841565737218963
2,1,0.3358831656498845
2,2,0.3362234739457181
2,3,0.35818952708066654
2,4,0.3641210208253325
2,5,0.37819243489265236
2,6,0.3804830272463054
2,7,0.38458135944687055
2,8,0.3749093195915617
2,9,0.3834554044659255
2,10,0.3807915376880201
2,11,0.3787418443785573
2,12,0.3795644321729249
2,13,0.3873564078572267
2,14,0.3896774734600672
2,15,0.3849443399119133
2,16,0.38785157213173105
2,17,0.3846740143899157
2,18,0.3770200293700785
2,19,0.37482017137912
2,20,0.36924647891931445
2,21,0.3801341777503021
2,22,0.37676527157843787
2,23,0.3731701854820252
2,24,0.36511404200668474
3,0,0.31758080865318217
3,1,0.334090115767491
3,2,0.33529093836646084
3,3,0.36024884541851315
3,4,0.363192659642539
3,5,0.3727986741697411
3,6,0.38050736395337886
3,7,0.3831735911322389
3,8,0.38422106375904114
3,9,0.3838453448534256
3,10,0.38189046293749873
3,11,0.38204970398249727
3,12,0.37133563581900075
3,13,0.37400013788839415
3,14,0.3881725445081804
3,15,0.39043499778470026
3,16,0.3819970418253732
3,17,0.37988863523489835
3,18,0.38123867398464373
3,19,0.3798133591521226
3,20,0.3788363085822083
3,21,0.3802182434065238
3,22,0.38037605948199427
3,23,0.36904562789350337
3,24,0.36827430415220674
4,0,0.3232827504702038
4,1,0.3409549881184595
4,2,0.3440039732766762
4,3,0.3571221541190218
4,4,0.3666447942576291
4,5,0.3808035054790853
4,6,0.3672615099267099
4,7,0.37771297188976055
4,8,0.38350537298229076
4,9,0.39156350446842453
4,10,0.38104735695894865
4,11,0.3789298407616233
4,12,0.37135430206984016
4,13,0.3831993935455823
4,14,0.3902063832628746
4,15,0.3701436851682695
4,16,0.3856940367276015
4,17,0.3735337073225623
4,18,0.37917535132703784
4,19,0.3773887706223217
4,20,0.37650788751787573
4,21,0.38247298130623447
4,22,0.3801852244322971
4,23,0.36370429964144496
4,24,0.36502615322806686
5,0,0.3173804036318439
5,1,0.3353759233760498
5,2,0.34198625957965273
5,3,0.34967604667237495
5,4,0.36547349667621576
5,5,0.377874549849137
5,6,0.38315192339107473
5,7,0.37828443351501356
5,8,0.37611317839539893
5,9,0.37918248326389803
5,10,0.3802660622099862
5,11,0.38140302221423183
5,12,0.37511282451161737
5,13,0.36731451811778004
5,14,0.38781228590335576
5,15,0.3835507171711646
5,16,0.3820214504290168
5,17,0.3820733765824662
5,18,0.37879019259597135
5,19,0.3763514348319159
5,20,0.37504417546897145
5,21,0.36887989600909843
5,22,0.371881443136592
5,23,0.36224935018936383
5,24,0.3618267263085886
6,0,0.3132830817926045
6,1,0.3328538363757469
6,2,0.33054073809823786
6,3,0.3436888501430242
6,4,0.3618335248965174
6,5,0.3721333451367305
6,6,0.37661942587670744
